,vote_link,Nombre:,Status,Date,Tipo,Camara,Comision,Votos,Absenciones,click
0,https://congresovisible.uniandes.edu.co/votaciones/14220/,"['“Aprobación del artículo 6º, a la aditiva del artículo nuevo, bloque del articulado, título y que haga tránsito a la Honorable Cámara de Representantes del Proyecto de ley número 102 de 2015 ']",aprobado,['Nov 30 d 2016'],['Proyecto de Ley'],['Senado'],[],59,40,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14170/,"['“Aprobación Proposición de la honorable Senadora Sofía Gaviria quien pide que la Comisión Séptima apruebe una Audiencia Pública sobre generación de ingreso y vivienda y necesidades de las víc timas del conflicto armado en Bogotá, que se cite al Alcalde... ']",aprobado,['Nov 30 d 2016'],[],['Senado'],['Comisión Séptima de Senado'],0,0,NO
0,https://congresovisible.uniandes.edu.co/votaciones/14208/,['“Aprobación del Orden del Día'],denegado,['Nov 30 d 2016'],[],['Senado'],[],58,41,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14168/,"['“Aprobación Proposición con que termina el informe de ponencia primer debate, Proyecto de ley número 134 de 2016 Senado']",aprobado,['Nov 30 d 2016'],['Proyecto de Ley'],['Senado'],['Comisión Séptima de Senado'],10,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14169/,['“Aprobación articulado en bloque Proyecto de Ley número 134 de 2016 Senado'],aprobado,['Nov 30 d 2016'],['Proyecto de Ley'],['Senado'],['Comisión Séptima de Senado'],10,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14185/,"['“Aprobación de actas número 16, 17, 18, 19, 20 y 21, Legislatura ']",aprobado,['Nov 30 d 2016'],[],['Senado'],['Comisión Séptima de Senado'],0,0,NO
0,https://congresovisible.uniandes.edu.co/votaciones/14167/,['“Aprobación del Orden del '],aprobado,['Nov 30 d 2016'],[],['Senado'],['Comisión Séptima de Senado'],0,0,NO
0,https://congresovisible.uniandes.edu.co/votaciones/14209/,['“Aprobación del Orden del '],aprobado,['Nov 30 d 2016'],[],['Senado'],[],0,0,NO
0,https://congresovisible.uniandes.edu.co/votaciones/13929/,['“Aprobación de la proposición para refrendar el Acuerdo Final para la terminación del conflicto y la construcción de una paz estable y '],aprobado,['Nov 29 d 2016'],[],['Senado'],[],75,25,OK
0,https://congresovisible.uniandes.edu.co/votaciones/13964/,['“Aprobación del impedimento presentado por el Representante Inti Raúl '],noquorum,['Nov 29 d 2016'],['Impedimentos'],[],['Comisión Quinta de Cámara de Representantes'],8,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14371/,"['“Aprobación del título con a modificación propuesta, Proyecto de ley número 63 de 2016 ']",aprobado,['Nov 29 d 2016'],['Proposiciones'],[],['Comisión Segunda de Cámara de Representantes'],9,0,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14227/,['“Aprobación del Informe de Ponencia del Proyecto de ley número 015 de 2016 de '],aprobado,['Nov 29 d 2016'],['Proyecto de Ley'],[],['Comisión Quinta de Cámara de Representantes'],0,0,NO
0,https://congresovisible.uniandes.edu.co/votaciones/14228/,['“Aprobación del título y la pregunta del Proyecto de ley número 015 de '],aprobado,['Nov 29 d 2016'],['Proyecto de Ley'],[],['Comisión Quinta de Cámara de Representantes'],0,0,NO
0,https://congresovisible.uniandes.edu.co/votaciones/14229/,"['“Aprobación del articulado que incluye la proposición del artículo 3°, del Proyecto de ley número 015 de 2016']",aprobado,['Nov 29 d 2016'],['Proposiciones'],[],['Comisión Quinta de Cámara de Representantes'],0,0,NO
